strUC,strSciName,strComName,iucnID,iucnSci,iucnCom,iucnCat,iucnTnd,SciMatch,ComMatch,JointMatch
mCAVOx,Microtus californicus,California Vole,13427,Microtus californicus,Amargosa Vole,LC,stable,match,non-match,matchnon-match
mCCDEx,Peromyscus eremicus,Cactus Deermouse,16659,Peromyscus eremicus,Cactus Mouse,LC,stable,match,non-match,matchnon-match
mCGSHx,Notiosorex cockrumi,Cockrum's Gray Shrew,136666,Notiosorex cockrumi,Cockrum's Grey Shrew,LC,stable,match,non-match,matchnon-match
mCHPMx,Chaetodipus eremicus,Chihuahuan Pocket Mouse,136606,Chaetodipus eremicus,Chihuahuan Desert Pocket Mouse,LC,unknown,match,non-match,matchnon-match
mCMMUx,Ondatra zibethicus,Common Muskrat,15324,Ondatra zibethicus,Muskrat,LC,stable,match,non-match,matchnon-match
mCNDEx,Peromyscus crinitus,Canyon Deermouse,16656,Peromyscus crinitus,Canyon Mouse,LC,stable,match,non-match,matchnon-match
mCODEx,Peromyscus gossypinus,Cotton Deermouse,42653,Peromyscus gossypinus,Key Largo Cotton Mouse,LC,stable,match,non-match,matchnon-match
mCOORx,Oryzomys couesi,Coues' Oryzomys,15592,Oryzomys couesi,Coues's Rice Rat,LC,unknown,match,non-match,matchnon-match
mCOUGx,Puma concolor,Cougar,18868,Puma concolor,Puma,LC,decreasing,match,non-match,matchnon-match
mCRGSx,Notiosorex crawfordi,Crawford's Gray Shrew,41456,Notiosorex crawfordi,Desert Shrew,LC,stable,match,non-match,matchnon-match
mCTKRx,Dipodomys microps,Chisel-toothed Kangaroo Rat,42603,Dipodomys microps,Houserock Chisel-toothed Kangaroo Rat,LC,stable,match,non-match,matchnon-match
mDKMOx,Microdipodops megacephalus,Dark Kangaroo Mouse,42606,Microdipodops megacephalus,Owyhee River Kangaroo Mouse,LC,decreasing,match,non-match,matchnon-match
mDUSHx,Sorex monticolus,Dusky Shrew,41405,Sorex monticolus,Montane Shrew,LC,stable,match,non-match,matchnon-match
mEFSQx,Sciurus niger,Eastern Fox Squirrel,20016,Sciurus niger,Delmarva Fox Squirrel,LC,stable,match,non-match,matchnon-match
mERMIx,Mustela erminea,Ermine,29674,Mustela erminea,Stoat,LC,stable,match,non-match,matchnon-match
mFADEx,Dama dama,Fallow Deer,42188,Dama dama,Persian Fallow Deer,LC,unknown,match,non-match,matchnon-match
mGBBAx,Eumops perotis,Greater Bonneted Bat,8247,Eumops perotis,Western Mastiff Bat,LC,decreasing,match,non-match,matchnon-match
mGMGSx,Callospermophilus lateralis,Golden-mantled Ground Squirrel,42468,Callospermophilus lateralis,Green River Basin Golden-mantled Ground Squirrel,LC,stable,match,non-match,matchnon-match
mGRFOx,Urocyon cinereoargenteus,Gray Fox,22780,Urocyon cinereoargenteus,Grey Fox,LC,stable,match,non-match,matchnon-match
mGRMYx,Myotis grisescens,Gray Myotis,14132,Myotis grisescens,Grey Bat,VU,increasing,match,non-match,matchnon-match
mGRWOx,Canis lupus,Gray Wolf,3746,Canis lupus,Grey Wolf,LC,stable,match,non-match,matchnon-match
mHASQx,Ammospermophilus harrisii,Harris' Antelope Squirrel,42399,Ammospermophilus harrisii,Harris's Antelope Squirrel,LC,unknown,match,non-match,matchnon-match
mIGSQx,Urocitellus brunneus,Idaho Ground Squirrel,20497,Urocitellus brunneus,Norhern Idaho Ground Squirrel,CR,unknown,match,non-match,matchnon-match
mINMYx,Myotis sodalis,Indiana Myotis,14136,Myotis sodalis,Indiana Bat,NT,stable,match,non-match,matchnon-match
mLBMYx,Myotis lucifugus,Little Brown Myotis,14176,Myotis lucifugus,Little Brown Bat,EN,decreasing,match,non-match,matchnon-match
mLPMOx,Perognathus longimembris,Little Pocket Mouse,16636,Perognathus longimembris,Los Angeles Little Pocket Mouse,LC,stable,match,non-match,matchnon-match
mLTVOx,Microtus longicaudus,Long-tailed Vole,42627,Microtus longicaudus,San Bernardino Long-tailed Vole,LC,stable,match,non-match,matchnon-match
mMAORx,Oryzomys palustris,Marsh Oryzomys,42675,Oryzomys palustris,Marsh Rice Rat,LC,stable,match,non-match,matchnon-match
mMEDEx,Peromyscus merriami,Merriam's Deermouse,16680,Peromyscus merriami,Mesquite Mouse,LC,unknown,match,non-match,matchnon-match
mMEVOx,Microtus pennsylvanicus,Meadow Vole,13452,Microtus pennsylvanicus,Chihuahua Vole,LC,stable,match,non-match,matchnon-match
mMFTBx,Tadarida brasiliensis,Mexican Free-tailed Bat,21314,Tadarida brasiliensis,Brazilian Free-tailed Bat,LC,stable,match,non-match,matchnon-match
mMLSHx,Sorex lyelli,Mt. Lyell Shrew,41402,Sorex lyelli,Mount Lyell Shrew,LC,stable,match,non-match,matchnon-match
mMOVOx,Microtus montanus,Montane Vole,42630,Microtus montanus,Pahranagat Valley Montane Vole,LC,stable,match,non-match,matchnon-match
mMPMOx,Perognathus merriami,Merriam's Pocket Mouse,16637,Perognathus merriami,Great Basin Pocket Mouse,LC,stable,match,non-match,matchnon-match
mNAWVx,Microtus richardsoni,North American Water Vole,42634,Microtus richardsoni,Water Vole,LC,stable,match,non-match,matchnon-match
mNBLEx,Synaptomys borealis,Northern Bog Lemming,42638,Synaptomys borealis,Okanagan Bog Lemming,LC,unknown,match,non-match,matchnon-match
mNFSQx,Glaucomys sabrinus,Northern Flying Squirrel,39553,Glaucomys sabrinus,Carolina Flying Squirrel,LC,stable,match,non-match,matchnon-match
mNPGOx,Thomomys talpoides,Northern Pocket Gopher,42597,Thomomys talpoides,Vancouver Pocket Gopher,LC,stable,match,non-match,matchnon-match
mNRDEx,Peromyscus nasutus,Northern Rock Deermouse,16682,Peromyscus nasutus,Northern Rock Mouse,LC,unknown,match,non-match,matchnon-match
mOLDEx,Peromyscus polionotus,Oldfield Deermouse,42654,Peromyscus polionotus,Choctawhatchee Beach Mouse,LC,unknown,match,non-match,matchnon-match
mPIDEx,Peromyscus truei,Pinon Deermouse,16694,Peromyscus truei,Pinyon Mouse,LC,stable,match,non-match,matchnon-match
mPJMOx,Zapus trinotatus,Pacific Jumping Mouse,23192,Zapus trinotatus,Point Reyes Jumping Mouse,LC,unknown,match,non-match,matchnon-match
mPKMOx,Microdipodops pallidus,Pale Kangaroo Mouse,42607,Microdipodops pallidus,Soda Spring Valley Kangaroo Mouse,LC,decreasing,match,non-match,matchnon-match
mPTPDx,Cynomys ludovicianus,Black-tailed Prairie Dog,6091,Cynomys ludovicianus,Arizona Black-tailed Prairie Dog,LC,decreasing,match,non-match,matchnon-match
mRACCx,Procyon lotor,Raccoon,41686,Procyon lotor,Northern Raccoon,LC,increasing,match,non-match,matchnon-match
mRBSQx,Sciurus aureogaster,Red-bellied Squirrel,20006,Sciurus aureogaster,Mexican Grey Squirrel,LC,stable,match,non-match,matchnon-match
mROVOx,Microtus chrotorrhinus,Rock Vole,42626,Microtus chrotorrhinus,Southern Rock Vole,LC,decreasing,match,non-match,matchnon-match
mSACOx,Nasua narica,South American Coati,41683,Nasua narica,White-nosed Coati,LC,decreasing,match,non-match,matchnon-match
mSADEx,Peromyscus gratus,Saxicoline Deermouse,16663,Peromyscus gratus,Osgood's Mouse,LC,unknown,match,non-match,matchnon-match
mSEWEx,Aplodontia rufa,Sewellel,1869,Aplodontia rufa,Mountain Beaver,LC,stable,match,non-match,matchnon-match
mSIKAx,Cervus nippon,Sika,41788,Cervus nippon,Sika Deer,LC,increasing,match,non-match,matchnon-match
mSJKRx,Dipodomys nitratoides,San Joaquin Kangaroo Rat,6683,Dipodomys nitratoides,Fresno Kangaroo Rat,VU,decreasing,match,non-match,matchnon-match
mSKRAx,Dipodomys stephensi,Stephen's Kangaroo Rat,6682,Dipodomys stephensi,Stephens' Kangaroo Rat,VU,decreasing,match,non-match,matchnon-match
mSPGOx,Thomomys umbrinus,Southern Pocket Gopher,21800,Thomomys umbrinus,Animas Mountains Pocket Gopher,LC,unknown,match,non-match,matchnon-match
mUMBAx,Eumops underwoodi,Underwood's Mastiff Bat,8248,Eumops underwoodi,Underwood's Bonneted Bat,LC,unknown,match,non-match,matchnon-match
mWADEx,Peromyscus pectoralis,White-ankled Deermouse,16684,Peromyscus pectoralis,White-ankled Mouse,LC,stable,match,non-match,matchnon-match
mWEMOx,Zapus princeps,Western Jumping Mouse,42614,Zapus princeps,Pacific Jumping Mouse,LC,stable,match,non-match,matchnon-match
mWFDEx,Peromyscus leucopus,White-footed Deermouse,16669,Peromyscus leucopus,White-footed Mouse,LC,stable,match,non-match,matchnon-match
mWHMOx,Reithrodontomys megalotis,Western Harvest Mouse,19410,Reithrodontomys megalotis,Southern Marsh Harvest Mouse,LC,stable,match,non-match,matchnon-match
mWIMAx,Trichechus manatus,West Indian Manatee,22103,Trichechus manatus,American Manatee,VU,decreasing,match,non-match,matchnon-match
mWRBAx,Lasiurus blossevillii,Western Red Bat,88151055,Lasiurus blossevillii,Southern Red Bat,LC,unknown,match,non-match,matchnon-match
rAQGAx,Thamnophis atratus,Aquatic Gartersnake,63970,Thamnophis atratus,Pacific Coast Aquatic Garter Snake,LC,stable,match,non-match,matchnon-match
rBARAx,Pantherophis bairdi,Baird's Ratsnake,63860,Pantherophis bairdi,Baird's Rat Snake,LC,stable,match,non-match,matchnon-match
rBCRAx,Bogertophis rosaliae,Baja California Ratsnake,63736,Bogertophis rosaliae,Baja California Rat Snake,LC,stable,match,non-match,matchnon-match
rBKMTx,Graptemys nigrinoda,Black-knobbed Map Turtle,9502,Graptemys nigrinoda,Black-knobbed Sawback,LC,stable,match,non-match,matchnon-match
rBRWAx,Nerodia taxispilota,Brown Watersnake,63857,Nerodia taxispilota,Brown Water Snake,LC,stable,match,non-match,matchnon-match
rBUGAx,Thamnophis butleri,Butler's Gartersnake,63972,Thamnophis butleri,Butler's Garter Snake,LC,stable,match,non-match,matchnon-match
rCAISx,Drymarchon melanurus,Central American Indigo Snake,63774,Drymarchon melanurus,Western Indigo Snake,LC,stable,match,non-match,matchnon-match
rCCHUx,Sauromalus ater,Common Chuckwalla,64054,Sauromalus ater,Northern Chuckwalla,LC,stable,match,non-match,matchnon-match
rCCHWx,Aspidoscelis neotesselata,Colorado Checkered Whiptail,64279,Aspidoscelis neotesselata,Triploid Checkered Whiptail,NT,decreasing,match,non-match,matchnon-match
rCCWHx,Aspidoscelis tesselata,Common Checkered Whiptail,64289,Aspidoscelis tesselata,Diploid Checkered Whiptail,LC,stable,match,non-match,matchnon-match
rCFTLx,Uma inornata,Coachella Fringe-toed Lizard,22727,Uma inornata,Coachella Valley Fringe-toed Lizard,EN,decreasing,match,non-match,matchnon-match
rCHGAx,Thamnophis marcianus,Checkered Gartersnake,198521,Thamnophis marcianus,Checkered Garter Snake,LC,unknown,match,non-match,matchnon-match
rCLELx,Holbrookia maculata,Common Lesser Earless Lizard,64065,Holbrookia maculata,Lesser Earless Lizard,LC,stable,match,non-match,matchnon-match
rCLIZx,Anniella pulchra,California Legless Lizard,62227,Anniella pulchra,Black Legless Lizard,LC,decreasing,match,non-match,matchnon-match
rCLLIx,Gambelia copeii,Cope's Leopard Lizard,64014,Gambelia copeii,Long-nosed Leopard Lizard,LC,decreasing,match,non-match,matchnon-match
rCOPPx,Agkistrodon contortrix,Copperhead,64297,Agkistrodon contortrix,Northern Copperhead,LC,stable,match,non-match,matchnon-match
rCOWAx,Nerodia paucimaculata,Concho Watersnake,14631,Nerodia paucimaculata,Concho Water Snake,NT,stable,match,non-match,matchnon-match
rCSPWx,Aspidoscelis gularis,Common Spotted Whiptail,64267,Aspidoscelis gularis,Eastern Spotted Whiptail,LC,stable,match,non-match,matchnon-match
rDBTEx,Malaclemys terrapin,Diamond-backed Terrapin,12695,Malaclemys terrapin,Diamondback Terrapin,LR/nt,,match,non-match,matchnon-match
rDEBRx,Storeria dekayi,Dekay's Brownsnake,63928,Storeria dekayi,Brown Snake,LC,stable,match,non-match,matchnon-match
rDEIGx,Dipsosaurus dorsalis,Desert Iguana,64053,Dipsosaurus dorsalis,Common Desert Iguana,LC,stable,match,non-match,matchnon-match
rDETOx,Gopherus agassizii,Desert Tortoise,9400,Gopherus agassizii,Mojave Desert Tortoise,VU,,match,non-match,matchnon-match
rEAFOx,Pantherophis gloydi,Eastern Foxsnake,63862,Pantherophis gloydi,Eastern Fox Snake,NT,decreasing,match,non-match,matchnon-match
rEARIx,Thamnophis sauritus,Eastern Ribbonsnake,63991,Thamnophis sauritus,Eastern Ribbon Snake,LC,stable,match,non-match,matchnon-match
rEWSNx,Carphophis amoenus,Eastern Wormsnake,63738,Carphophis amoenus,Eastern Worm Snake,LC,stable,match,non-match,matchnon-match
rFGWAx,Nerodia floridana,Florida Green Watersnake,63855,Nerodia floridana,Florida Green Water Snake,LC,stable,match,non-match,matchnon-match
rFHSNx,Tantilla gracilis,Flat-headed Snake,63946,Tantilla gracilis,Flathead Snake,LC,decreasing,match,non-match,matchnon-match
rFLSOx,Apalone ferox,Florida Softshell,165597,Apalone ferox,Florida Softshell Turtle,LC,unknown,match,non-match,matchnon-match
rFLWOx,Rhineura floridana,Florida Wormlizard,64219,Rhineura floridana,Florida Worm Lizard,LC,stable,match,non-match,matchnon-match
rFMTUx,Graptemys pseudogeographica,False Map Turtle,165600,Graptemys pseudogeographica,Mississippi Map Turtle,LC,unknown,match,non-match,matchnon-match
rGCWHx,Aspidoscelis dixoni,Gray Checkered Whiptail,64262,Aspidoscelis dixoni,Gray-checkered Whiptail,NT,stable,match,non-match,matchnon-match
rGIGAx,Thamnophis gigas,Giant Gartersnake,21706,Thamnophis gigas,Giant Garter Snake,VU,decreasing,match,non-match,matchnon-match
rGNLIx,Xantusia henshawi,Granite Night Lizard,64366,Xantusia henshawi,Henshaw's Night Lizard,LC,stable,match,non-match,matchnon-match
rGNRAx,Senticolis triaspis,Green Ratsnake,190631,Senticolis triaspis,Green Rat Snake,LC,stable,match,non-match,matchnon-match
rGOPHx,Pituophis catenifer,Gophersnake,63869,Pituophis catenifer,Gopher Snake,LC,stable,match,non-match,matchnon-match
rGPRAx,Pantherophis emoryi,Great Plains Ratsnake,63861,Pantherophis emoryi,Great Plains Rat Snake,LC,stable,match,non-match,matchnon-match
rGSTUx,Chelonia mydas,Green Sea Turtle,4615,Chelonia mydas,Green Turtle,EN,decreasing,match,non-match,matchnon-match
rHACOx,Micrurus fulvius,Harlequin Coralsnake,64025,Micrurus fulvius,Eastern Coral Snake,LC,stable,match,non-match,matchnon-match
rHSTUx,Eretmochelys imbricata,Hawksbill Sea Turtle,8005,Eretmochelys imbricata,Hawksbill Turtle,CR,decreasing,match,non-match,matchnon-match
rKRSTx,Lepidochelys kempii,Kemp's Ridley Sea Turtle,11533,Lepidochelys kempii,Kemp's Ridley,CR,,match,non-match,matchnon-match
rLEATx,Dermochelys coriacea,Leatherback Sea Turtle,6494,Dermochelys coriacea,Leatherback,VU,decreasing,match,non-match,matchnon-match
rLOGTx,Caretta caretta,Loggerhead Sea Turtle,3897,Caretta caretta,Loggerhead Turtle,VU,decreasing,match,non-match,matchnon-match
rLOPIx,Pituophis ruthveni,Louisiana Pinesnake,63874,Pituophis ruthveni,Louisiana Pine Snake,EN,decreasing,match,non-match,matchnon-match
rMEGAx,Thamnophis eques,Mexican Gartersnake,63977,Thamnophis eques,Mexican Garter Snake,LC,stable,match,non-match,matchnon-match
rMFTLx,Uma scoparia,Mohave Fringe-toed Lizard,64166,Uma scoparia,Mojave Fringe-toed Lizard,LC,stable,match,non-match,matchnon-match
rMORAx,Crotalus scutulatus,Mohave Rattlesnake,64332,Crotalus scutulatus,Mojave Rattlesnake,LC,stable,match,non-match,matchnon-match
rMPSLx,Trachemys gaigeae,Mexican Plateau Slider,22024,Trachemys gaigeae,Big Bend Slider,VU,unknown,match,non-match,matchnon-match
rMSWAx,Nerodia cyclopion,Mississippi Green Watersnake,63853,Nerodia cyclopion,Mississippi Green Water Snake,LC,stable,match,non-match,matchnon-match
rNARAx,Coluber constrictor,North American Racer,63748,Coluber constrictor,Eastern Racer,LC,stable,match,non-match,matchnon-match
rNHGAx,Thamnophis rufipunctatus,Narrow-headed Gartersnake,63990,Thamnophis rufipunctatus,,LC,decreasing,match,non-match,matchnon-match
rNRBCx,Pseudemys rubriventris,Northern Red-bellied Cooter,18460,Pseudemys rubriventris,Northern Redbelly Turtle,NT,unknown,match,non-match,matchnon-match
rNRBOx,Charina bottae,Northern Rubber Boa,62228,Charina bottae,Rubber Boa,LC,stable,match,non-match,matchnon-match
rNWATx,Nerodia sipedon,Northern Watersnake,62239,Nerodia sipedon,Lake Erie Water Snake,LC,stable,match,non-match,matchnon-match
rNWGAx,Thamnophis ordinoides,Northwestern Gartersnake,63985,Thamnophis ordinoides,Northwestern Garter Snake,LC,stable,match,non-match,matchnon-match
rORSTx,Lepidochelys olivacea,Olive Ridley Sea Turtle,11534,Lepidochelys olivacea,Olive Ridley,VU,decreasing,match,non-match,matchnon-match
rORWHx,Aspidoscelis hyperythra,Orange-throated Whiptail,4996,Aspidoscelis hyperythra,Orange-throated Race-runner,LC,decreasing,match,non-match,matchnon-match
rPHNSx,Heterodon nasicus,Plains Hog-nosed Snake,63819,Heterodon nasicus,Western Hog-nosed Snake,LC,stable,match,non-match,matchnon-match
rPINEx,Pituophis melanoleucus,Pinesnake,63873,Pituophis melanoleucus,Pine Snake,LC,decreasing,match,non-match,matchnon-match
rPLGAx,Thamnophis radix,Plains Gartersnake,63988,Thamnophis radix,Plains Garter Snake,LC,stable,match,non-match,matchnon-match
rPOSLx,Trachemys scripta,Pond Slider,22028,Trachemys scripta,Yellow-bellied Slider Turtle,LC,stable,match,non-match,matchnon-match
rPRSKx,Plestiodon septentrionalis,Prairie Skink,64239,Plestiodon septentrionalis,Northern Prairie Skink,LC,stable,match,non-match,matchnon-match
rQUEEx,Regina septemvittata,Queensnake,63887,Regina septemvittata,Queen Snake,LC,stable,match,non-match,matchnon-match
rRBGEx,Coleonyx reticulatus,Reticular Banded Gecko,64037,Coleonyx reticulatus,Reticulate Banded Gecko,LC,stable,match,non-match,matchnon-match
rRBSSx,Coniophanes imperialis,Regal Black-striped Snake,63750,Coniophanes imperialis,Black-striped Snake,LC,stable,match,non-match,matchnon-match
rREGEx,Sphaerodactylus notatus,Reef Gecko,64052,Sphaerodactylus notatus,Brown-speckled Sphaero,LC,stable,match,non-match,matchnon-match
rRMTUx,Graptemys oculifera,Ringed Map Turtle,9499,Graptemys oculifera,Ringed Sawback,VU,unknown,match,non-match,matchnon-match
rRNRAx,Crotalus willardi,Ridge-nosed Rattlesnake,62253,Crotalus willardi,New Mexican Ridge-nosed Rattlesnake,LC,stable,match,non-match,matchnon-match
rROGRx,Opheodrys aestivus,Rough Greensnake,63859,Opheodrys aestivus,Rough Green Snake,LC,stable,match,non-match,matchnon-match
rSALSx,Phyllorhynchus browni,Saddled Leaf-nosed Snake,63867,Phyllorhynchus browni,,LC,stable,match,non-match,matchnon-match
rSAWAx,Nerodia clarkii,Saltmarsh Watersnake,63852,Nerodia clarkii,Atlantic Saltmarsh Snake,LC,decreasing,match,non-match,matchnon-match
rSBGEx,Coleonyx switaki,Switak's Banded Gecko,64038,Coleonyx switaki,Barefoot Banded Gecko,LC,unknown,match,non-match,matchnon-match
rSBHSx,Tantilla hobartsmithi,Smith's Black-headed Snake,63947,Tantilla hobartsmithi,Southwestern Blackhead Snake,LC,stable,match,non-match,matchnon-match
rSBLIx,Sceloporus slevini,Slevin's Bunchgrass Lizard,64145,Sceloporus slevini,,LC,decreasing,match,non-match,matchnon-match
rSCARx,Cemophora coccinea,Scarletsnake,63740,Cemophora coccinea,Scarlet Snake,LC,stable,match,non-match,matchnon-match
rSIGAx,Thamnophis couchii,Sierra Gartersnake,63974,Thamnophis couchii,Western Aquatic Garter Snake,LC,stable,match,non-match,matchnon-match
rSMEAx,Virginia valeriae,Smooth Earthsnake,64003,Virginia valeriae,Smooth Earth Snake,LC,stable,match,non-match,matchnon-match
rSMGRx,Opheodrys vernalis,Smooth Greensnake,63842,Opheodrys vernalis,Smooth Green Snake,LC,stable,match,non-match,matchnon-match
rSMSOx,Apalone mutica,Smooth Softshell,165596,Apalone mutica,Smooth Softshell Turtle,LC,unknown,match,non-match,matchnon-match
rSOCOx,Micruroides euryxanthus,Sonoran Coralsnake,64017,Micruroides euryxanthus,Western Coral Snake,LC,stable,match,non-match,matchnon-match
rSOMTx,Kinosternon sonoriense,Sonoran Mud Turtle,11011,Kinosternon sonoriense,Sonoyta Mud Turtle,NT,unknown,match,non-match,matchnon-match
rSOWAx,Nerodia fasciata,Southern Watersnake,62237,Nerodia fasciata,Southern Water Snake,LC,stable,match,non-match,matchnon-match
rSPSOx,Apalone spinifera,Spiny Softshell,163451,Apalone spinifera,Spiny Softshell Turtle,LC,stable,match,non-match,matchnon-match
rTEGAx,Thamnophis elegans,Terrestrial Gartersnake,63976,Thamnophis elegans,Western Terrestrial Garter Snake,LC,stable,match,non-match,matchnon-match
rTERAx,Pantherophis obsoletus,Texas Ratsnake,63864,Pantherophis obsoletus,Western Ratsnake,LC,stable,match,non-match,matchnon-match
rTIWHx,Aspidoscelis tigris,Tiger Whiptail,64290,Aspidoscelis tigris,Western Whiptail,LC,stable,match,non-match,matchnon-match
rTPRAx,Bogertophis subocularis,Trans-pecos Ratsnake,63737,Bogertophis subocularis,Trans-pecos Rat Snake,LC,decreasing,match,non-match,matchnon-match
rTXCSx,Micrurus tener,Texas Coralsnake,64033,Micrurus tener,Texas Coral Snake,LC,stable,match,non-match,matchnon-match
rTXLYx,Trimorphodon vilkinsonii,Texas Lyresnake,63997,Trimorphodon vilkinsonii,Chihuahuan Lyre Snake,LC,stable,match,non-match,matchnon-match
rTXTOx,Gopherus berlandieri,Texas Tortoise,9401,Gopherus berlandieri,Berlandier's Tortoise,LR/lc,,match,non-match,matchnon-match
rWERIx,Thamnophis proximus,Western Ribbonsnake,198522,Thamnophis proximus,Western Ribbon Snake,LC,stable,match,non-match,matchnon-match
rWEWOx,Carphophis vermis,Western Wormsnake,63739,Carphophis vermis,,LC,stable,match,non-match,matchnon-match
rWGROx,Sonora semiannulata,Western Groundsnake,63925,Sonora semiannulata,Ground Snake,LC,stable,match,non-match,matchnon-match
rYBMTx,Graptemys flavimaculata,Yellow-blotched Map Turtle,9498,Graptemys flavimaculata,Yellow Blotched Sawback,VU,decreasing,match,non-match,matchnon-match
rYFTLx,Uma rufopunctata,Yuman Fringe-toed Lizard,64165,Uma rufopunctata,Yuman Desert Fringe-toed Lizard,NT,decreasing,match,non-match,matchnon-match
rYSLIx,Sceloporus jarrovii,Yarrow's Spiny Lizard,64116,Sceloporus jarrovii,Mountain Spiny Lizard,LC,stable,match,non-match,matchnon-match
aBATRx,Hyla gratiosa,Barking Treefrog,55495,Dryophytes gratiosus,Barking Treefrog,LC,stable,non-match,match,non-matchmatch
aBVTRx,Hyla avivoca,Bird-voiced Treefrog,55403,Dryophytes avivoca,Bird-voiced Treefrog,LC,stable,non-match,match,non-matchmatch
aCANEx,Rhinella marinus,Cane Toad,41065,Rhinella marina,Cane Toad,LC,increasing,non-match,match,non-matchmatch
aCGTRx,Hyla chrysoscelis,Cope's Gray Treefrog,55448,Dryophytes chrysoscelis,Cope's Gray Treefrog,LC,stable,non-match,match,non-matchmatch
aCYTRx,Hyla arenicolor,Canyon Treefrog,55396,Dryophytes arenicolor,Canyon Treefrog,LC,stable,non-match,match,non-matchmatch
aGBSAx,Haideotriton wallacei,Georgia Blind Salamander,59284,Eurycea wallacei,Georgia Blind Salamander,VU,unknown,non-match,match,non-matchmatch
aGYTRx,Hyla versicolor,Gray Treefrog,55687,Dryophytes versicolor,Gray Treefrog,LC,stable,non-match,match,non-matchmatch
aOSSAx,Batrachoseps wrightorum,Oregon Slender Salamander,59134,Batrachoseps wrighti,Oregon Slender Salamander,VU,decreasing,non-match,match,non-matchmatch
aPBTRx,Hyla andersonii,Pine Barrens Treefrog,10350,Dryophytes andersonii,Pine Barrens Treefrog,NT,decreasing,non-match,match,non-matchmatch
aSENEx,Taricha sierrea,Sierra Newt,136023,Taricha sierra,Sierra Newt,LC,unknown,non-match,match,non-matchmatch
aSQTRx,Hyla squirella,Squirrel Treefrog,55662,Dryophytes squirellus,Squirrel Treefrog,LC,stable,non-match,match,non-matchmatch
bABTOx,Pipilo aberti,Abert's Towhee,22721315,Melozone aberti,Abert's Towhee,LC,increasing,non-match,match,non-matchmatch
bAMGOx,Carduelis tristis,American Goldfinch,22720407,Spinus tristis,American Goldfinch,LC,increasing,non-match,match,non-matchmatch
bAMWIx,Anas americana,American Wigeon,22680163,Mareca americana,American Wigeon,LC,stable,non-match,match,non-matchmatch
bARWOx,Picoides arizonae,Arizona Woodpecker,22729044,Leuconotopicus arizonae,Arizona Woodpecker,LC,increasing,non-match,match,non-matchmatch
bASSPx,Oceanodroma homochroa,Ashy Storm-petrel,22698562,Hydrobates homochroa,Ashy Storm-petrel,EN,decreasing,non-match,match,non-matchmatch
bATSPx,Spizella arborea,American Tree Sparrow,22721159,Passerella arborea,American Tree Sparrow,LC,decreasing,non-match,match,non-matchmatch
bBACSx,Aimophila aestivalis,Bachman's Sparrow,22721256,Peucaea aestivalis,Bachman's Sparrow,NT,decreasing,non-match,match,non-matchmatch
bBAISx,Ammodramus bairdii,Baird's Sparrow,22721141,Passerculus bairdii,Baird's Sparrow,LC,decreasing,non-match,match,non-matchmatch
bBBWAx,Dendroica castanea,Bay-breasted Warbler,22721734,Setophaga castanea,Bay-breasted Warbler,LC,decreasing,non-match,match,non-matchmatch
bBCNIx,Caprimulgus ridgwayi,Buff-collared Nightjar,22689801,Antrostomus ridgwayi,Buff-collared Nightjar,LC,decreasing,non-match,match,non-matchmatch
bBLBWx,Dendroica fusca,Blackburnian Warbler,22721695,Setophaga fusca,Blackburnian Warbler,LC,increasing,non-match,match,non-matchmatch
bBLPWx,Dendroica striata,Blackpoll Warbler,22721737,Setophaga striata,Blackpoll Warbler,NT,decreasing,non-match,match,non-matchmatch
bBLSCx,Melanitta nigra,Black Scoter,22732425,Melanitta americana,Black Scoter,NT,decreasing,non-match,match,non-matchmatch
bBOCHx,Poecile hudsonica,Boreal Chickadee,22711759,Poecile hudsonicus,Boreal Chickadee,LC,decreasing,non-match,match,non-matchmatch
bBOGUx,Chroicocephalus philadelphia,Bonaparte's Gull,22694432,Larus philadelphia,Bonaparte's Gull,LC,increasing,non-match,match,non-matchmatch
bBOSPx,Aimophila botterii,Botteri's Sparrow,22721264,Peucaea botterii,Botteri's Sparrow,LC,stable,non-match,match,non-matchmatch
bBRACx,Phalacrocorax penicillatus,Brandt's Cormorant,22696753,Urile penicillatus,Brandt's Cormorant,LC,decreasing,non-match,match,non-matchmatch
bBTBWx,Dendroica caerulescens,Black-throated Blue Warbler,22721673,Setophaga caerulescens,Black-throated Blue Warbler,LC,increasing,non-match,match,non-matchmatch
bBTNWx,Dendroica virens,Black-throated Green Warbler,22721689,Setophaga virens,Black-throated Green Warbler,LC,decreasing,non-match,match,non-matchmatch
bBUORx,Icterus bullockii,Bullock's Oriole,22729123,Icterus bullockiorum,Bullock's Oriole,LC,stable,non-match,match,non-matchmatch
bBWTEx,Anas discors,Blue-winged Teal,22680229,Spatula discors,Blue-winged Teal,LC,decreasing,non-match,match,non-matchmatch
bBWWAx,Vermivora pinus,Blue-winged Warbler,22721610,Vermivora cyanoptera,Blue-winged Warbler,LC,decreasing,non-match,match,non-matchmatch
bCAFIx,Carpodacus cassinii,Cassin's Finch,22720560,Haemorhous cassinii,Cassin's Finch,NT,decreasing,non-match,match,non-matchmatch
bCAHUx,Stellula calliope,Calliope Hummingbird,22688232,Selasphorus calliope,Calliope Hummingbird,LC,stable,non-match,match,non-matchmatch
