strUC,strSciName,strComName,iucnID,iucnSci,iucnCom,iucnCat,iucnTnd,SciMatch,ComMatch,JointMatch
aSTFRx,Pseudacris streckeri,Strecker's Chorus Frog,55898,Pseudacris streckeri,Strecker's Chorus Frog,LC,unknown,match,match,matchmatch
aSTLSx,Eurycea cirrigera,Southern Two-lined Salamander,59264,Eurycea cirrigera,Southern Two-lined Salamander,LC,stable,match,match,matchmatch
aSTNEx,Notophthalmus perstriatus,Striped Newt,14872,Notophthalmus perstriatus,Striped Newt,NT,decreasing,match,match,matchmatch
aSTOSx,Rhyacotriton variegatus,Southern Torrent Salamander,59438,Rhyacotriton variegatus,Southern Torrent Salamander,LC,stable,match,match,matchmatch
aSTRSx,Ambystoma barbouri,Streamside Salamander,59053,Ambystoma barbouri,Streamside Salamander,NT,decreasing,match,match,matchmatch
aSYLFx,Rana sierrae,Sierra Nevada Yellow-legged Frog,136114,Rana sierrae,Sierra Nevada Yellow-legged Frog,EN,decreasing,match,match,matchmatch
aSYSAx,Plethodon stormi,Siskiyou Mountains Salamander,17628,Plethodon stormi,Siskiyou Mountains Salamander,EN,decreasing,match,match,matchmatch
aSZSAx,Plethodon ventralis,Southern Zigzag Salamander,59359,Plethodon ventralis,Southern Zigzag Salamander,LC,stable,match,match,matchmatch
aTBSAx,Eurycea rathbuni,Texas Blind Salamander,39262,Eurycea rathbuni,Texas Blind Salamander,VU,stable,match,match,matchmatch
aTCSAx,Gyrinophilus palleucus,Tennessee Cave Salamander,59281,Gyrinophilus palleucus,Tennessee Cave Salamander,VU,decreasing,match,match,matchmatch
aTESAx,Plethodon aureolus,Tellico Salamander,59332,Plethodon aureolus,Tellico Salamander,DD,unknown,match,match,matchmatch
aTETOx,Anaxyrus speciosus,Texas Toad,54761,Anaxyrus speciosus,Texas Toad,LC,stable,match,match,matchmatch
aTHAMx,Amphiuma tridactylum,Three-toed Amphiuma,59076,Amphiuma tridactylum,Three-toed Amphiuma,LC,stable,match,match,matchmatch
aTLSAx,Eurycea guttolineata,Three-lined Salamander,59265,Eurycea guttolineata,Three-lined Salamander,LC,stable,match,match,matchmatch
aTSSAx,Batrachoseps stebbinsi,Tehachapi Slender Salamander,2648,Batrachoseps stebbinsi,Tehachapi Slender Salamander,VU,unknown,match,match,matchmatch
aTWAMx,Amphiuma means,Two-toed Amphiuma,59074,Amphiuma means,Two-toed Amphiuma,LC,unknown,match,match,matchmatch
aTXSAx,Eurycea neotenes,Texas Salamander,59272,Eurycea neotenes,Texas Salamander,VU,unknown,match,match,matchmatch
